Number,Surname,GivenName,TelephoneNumber,Birthday
476,L'Hiver,Roslyn,01.88.54.73.24,2/7/1973
477,Thériault,Ranger,02.63.35.27.58,8/2/1988
478,Paquette,Artus,02.39.74.63.26,5/30/1969
479,Vaillancour,Valérie,04.34.96.72.74,8/17/1950
480,Blondlot,Vivienne,05.62.84.03.72,7/20/1964
481,Charrette,Astrid,01.07.17.52.18,12/11/1976
482,Desilets,Grosvenor,05.84.12.02.96,5/12/2000
483,LaGarde,Lucille,04.02.74.17.11,1/21/1952
484,Echeverri,Amarante,04.19.97.00.99,6/23/1997
485,Cantin,Eleanor,03.33.02.61.13,4/7/1981
486,Charpentier,Delmare,04.55.67.73.35,9/16/1984
487,Cotuand,Tanguy,03.59.13.87.93,9/5/1974
488,Huard,Gaetan,05.55.09.24.61,3/18/2005
489,Labrecque,Adrienne,02.06.28.65.82,8/14/1994
490,Thibodeau,Charlot,04.38.92.94.44,12/19/1970
491,Givry,Merle,01.91.06.32.66,11/3/1969
492,Riquier,Merle,01.74.93.79.16,2/5/2005
493,Ducharme,Clothilde,05.83.32.50.82,12/10/1971
494,Mothé,Delmar,03.32.23.47.01,10/16/1967
495,Daoust,Valentine,04.34.65.52.77,7/10/1965
496,Adler,Alphonse,01.61.48.07.57,10/16/1987
497,David,Delit,04.79.99.21.43,2/14/1965
498,Gendron,Auda,05.41.72.09.54,10/28/1959
499,Montminy,Langley,02.71.29.53.54,7/7/1985
500,Larocque,Alice,01.70.52.35.54,2/22/1979
501,Paimboeuf,Clementine,03.55.43.32.40,2/28/2003
502,Poulin,Alexandre,01.74.92.33.57,3/4/1941
503,Langlois,Garland,02.24.58.93.73,3/9/1978
504,Mailhot,Lyle,01.08.76.86.61,5/23/1941
505,Chandonnet,Damiane,05.20.78.58.54,12/13/1975
506,Patel,Paige,04.76.27.94.01,4/27/1991
507,Lanteigne,Tyson,05.21.97.23.35,12/6/1945
508,Babin,Searlait,01.87.24.61.26,7/15/1942
509,Gagné,Claire,01.94.09.18.55,5/4/1999
510,Renaud,Parnella,02.44.81.46.35,12/20/1948
511,Rouleau,Stéphane,05.09.94.22.05,6/28/1941
512,Verreau,Clothilde,04.90.59.50.45,3/19/1972
513,Thériault,Hamilton,01.41.32.33.71,8/4/1989
514,Lacombe,Hilaire,04.73.42.60.47,9/28/1992
515,Fugère,Michel,04.93.93.29.65,6/23/1993
516,Proulx,Sargent,03.00.73.16.18,4/28/1986
517,Bourgouin,Jessamine,01.57.20.04.44,9/26/1947
518,Dastous,Matilda,01.13.84.05.25,5/22/1988
519,Arpin,Chapin,02.56.72.06.03,11/18/1974
520,Grimard,Millicent,04.83.19.02.82,3/29/1991
521,Chalut,Burnell,02.52.60.04.90,1/3/1946
522,Ruel,Aceline,05.40.84.59.03,10/8/2004
523,Plaisance,Élisabeth,04.14.42.96.63,6/20/1982
524,Paquin,Prewitt,04.70.17.81.19,8/9/2000
525,Huard,Arthur,01.26.48.97.35,4/1/1954
526,Charlesbois,Pénélope,01.37.11.81.05,4/23/1991
527,Mazuret,Parnella,04.24.65.08.87,11/28/1946
528,Robert,Quincy,04.91.26.78.91,10/7/1984
529,Bourdette,Fifi,04.55.78.69.09,3/9/1989
530,Dupuy,Jacqueline,05.88.66.01.42,2/24/1968
531,Beaudouin,Linette,01.09.81.80.77,4/30/1940
532,Boileau,Gaston,04.87.73.09.22,1/29/1944
533,Boivin,Brice,04.45.06.55.32,1/8/1980
534,Sansouci,Joy,03.29.13.24.76,6/11/1951
535,Guilmette,Zdenek,04.90.24.03.42,12/14/1994
536,Joly,Dominique,04.25.28.96.27,11/18/1964
537,Plaisance,Josephe,02.33.26.15.20,8/25/1983
538,Chnadonnet,Armand,05.93.64.73.40,4/22/1984
539,Boisvert,Angelique,03.09.19.95.74,6/1/2000
540,Paradis,Alacoque,01.13.22.21.82,9/17/1962
541,Fluet,Paien,01.35.10.26.72,5/6/1984
542,Roux,Elita,01.72.07.19.01,4/30/1984
543,Croquetaigne,Luce,03.05.82.57.86,6/14/1940
544,Morin,Lotye,03.79.52.73.62,3/31/1970
545,Rousseau,Arber,04.18.71.32.54,4/13/1972
546,D'Avis,Bertrand,04.45.77.18.48,11/17/1984
547,Blanc,Édith,03.72.07.88.60,3/1/1975
548,Parrot,Orva,04.14.11.93.03,11/20/1952
549,Charette,Valentine,01.88.84.49.44,8/20/1959
550,Desruisseaux,Aubert,03.00.68.55.88,10/15/1961
551,Courtemanche,Clovis,03.67.79.18.52,10/22/1973
552,Berthiaume,Carolos,01.70.32.54.99,6/10/1982
553,Lamy,Gaetan,04.76.46.13.63,2/16/1952
554,Aupry,Anne,02.69.65.54.19,7/9/1987
555,LaGrande,Henry,05.83.03.21.00,8/31/1995
556,Briard,Natalie,01.64.60.31.36,11/6/1938
557,Perillard,Émile,04.01.67.66.57,3/9/1950
558,Bordeaux,Eugenia,03.14.82.77.20,1/10/1982
559,Trottier,Methena,02.69.88.06.25,5/26/1947
560,Bisaillon,Benjamin,01.55.74.87.59,9/29/1964
561,Francoeur,Zerbino,01.21.57.48.40,2/17/1986
562,Phaneuf,Brice,01.35.58.89.26,12/31/1949
563,Cantin,Emmanuel,01.58.01.30.00,10/22/2001
564,Bonami,Perrin,02.55.72.87.52,12/28/1996
565,Langlais,Aubert,01.97.57.28.97,12/7/1974
566,Audet,Arnaude,03.59.11.39.02,8/19/1941
567,Gervais,Yseult,03.09.92.65.64,5/10/1977
568,Jacques,Montague,05.57.31.06.53,8/21/1989
569,Lefèbvre,Tanguy,05.85.78.06.55,1/9/1963
570,Lebel,Evrard,03.06.29.50.98,3/13/1992
571,Lamontagne,Loring,02.02.75.38.83,11/11/1972
572,Guédry,Archard,04.58.67.33.32,3/1/1984
573,Pinneau,Porter,04.74.33.85.73,8/21/1984
574,Bouchard,Sophie,05.14.29.04.62,9/20/1967
575,Harquin,Margaux,01.29.26.41.26,5/13/1997
576,Laramée,Carine,05.10.28.52.58,8/14/1970
577,Bonsaint,Florence,05.83.48.30.19,7/30/2002
578,Petit,Gilles,04.69.75.04.33,3/17/1963
579,Gousse,Hugh,01.44.44.26.19,11/1/1954
580,Faure,Emmanuelle,01.23.37.88.72,7/20/1957
581,Rochefort,Olympia,04.85.20.75.82,2/28/1941
582,Mercure,Oliver,05.28.39.39.23,7/10/1996
583,Tremblay,Leverett,04.13.99.66.08,5/30/1990
584,Mathieu,Aya,02.53.57.05.99,6/3/2004
585,CinqMars,Armand,01.20.09.76.72,9/10/1946
586,Marcheterre,Gill,05.11.19.01.36,6/5/1995
587,Hébert,Amaury,05.27.07.98.55,7/15/1944
588,Pelletier,Telford,05.11.46.06.04,7/20/1963
589,Bériault,Robert,05.97.30.12.83,10/8/1972
590,Garceau,Luc,03.90.41.74.19,2/14/1945
591,Laforge,Warrane,04.43.05.24.78,5/18/1978
592,"Du Trieux",Adrien,01.61.73.60.15,12/20/1946
593,Lacasse,Vail,04.91.36.40.92,6/12/1938
594,Lamare,Audric,02.72.10.57.79,5/18/1978
595,Duplanty,Soren,02.99.77.65.64,6/19/1997
596,Lalonde,Paulette,04.66.39.61.60,6/13/1968
597,Fresne,Orville,02.67.41.28.30,2/3/1945
598,Barrientos,Raymond,05.04.36.44.59,4/4/1969
599,Tanguay,Pansy,03.75.17.67.35,8/8/1993
600,Desroches,Fanchon,05.82.86.22.88,3/15/1961
601,Camus,Lorraine,03.67.81.22.04,4/25/1981
602,Desjardins,Ophelia,02.86.74.89.86,4/24/1952
603,Boutot,Ignace,01.11.00.72.85,10/11/1966
604,D'Aubigné,David,03.66.63.59.31,9/15/1981
605,Blondlot,Manon,01.96.88.72.64,12/26/1957
606,Pouliotte,Frontino,01.27.02.95.59,4/23/1941
607,Laux,Ancelote,02.57.15.17.58,12/27/1969
608,Grondin,Ruby,04.21.97.54.94,9/4/1992
609,Pichette,Fantina,01.80.70.47.32,10/15/1939
610,Course,Adorlee,04.61.44.21.36,9/27/1958
611,Dumont,Christelle,01.31.38.11.07,6/6/1950
612,Bisaillon,Barry,03.46.93.14.66,3/16/1955
613,Brunault,Melville,01.73.64.50.27,7/1/1985
614,Grimard,Cher,01.80.02.61.11,7/18/1954
615,Goudreau,Quincy,01.61.69.78.33,5/11/1984
616,Croteau,Hortense,01.69.50.11.42,9/4/1938
617,Duhamel,Raoul,01.86.06.99.10,7/22/1997
618,Louis,Belisarda,01.97.39.27.13,10/16/1971
619,Bélanger,Isaac,04.06.95.58.91,12/31/1947
620,Duffet,Artus,02.21.57.92.70,2/3/1985
621,Souplet,Norris,03.48.71.62.50,5/28/1988
622,Fugère,Victoire,04.92.00.77.21,3/16/1968
623,Quessy,Grégoire,04.95.69.38.26,5/20/1998
624,Arpin,Eugène,03.67.16.94.09,11/25/1992
625,Monty,Pinabel,01.16.73.42.94,12/8/1986
626,Gaulin,Daniel,05.65.54.23.99,5/26/1988
627,Therrien,Patience,03.85.05.39.53,1/1/1953
628,Lacombe,Théodore,05.08.12.99.89,12/16/1944
629,Brousse,D'Arcy,04.93.62.82.80,8/27/1955
630,Houle,Luc,02.85.79.70.67,12/27/1957
631,Moquin,Cammile,02.12.63.03.14,5/10/1971
632,Rodrigue,Somerville,01.67.18.22.44,8/28/1999
633,Édouard,Brice,03.72.02.21.30,7/23/1986
634,Veronneau,Éric,04.65.53.05.25,8/28/1975
635,Dandonneau,Bayard,03.58.49.78.15,3/5/1992
636,Deslauriers,Turner,03.21.13.84.51,6/1/1938
637,Franchet,Felicien,02.33.74.19.96,4/14/1972
638,Angélil,Florence,01.72.55.66.31,8/18/1956
639,Leclair,Catherine,01.40.11.34.07,1/30/1986
640,L'Heureux,Iven,04.46.81.48.31,9/1/1958
641,Ruais,Ambra,03.82.08.15.07,7/2/1992
642,Lachance,Annot,02.64.23.01.58,4/4/1998
643,Binet,Marc,04.28.69.62.94,9/29/1955
644,Hughes,Falerina,05.63.58.97.92,3/23/1982
645,Chatigny,Isaac,02.69.70.29.61,1/22/1998
646,Patry,Vedette,05.13.09.33.28,1/19/1996
647,Harquin,Frontino,05.30.01.09.21,6/29/1958
648,Langelier,Patience,01.73.66.08.97,8/15/1958
649,Hachée,Damiane,04.72.67.84.99,10/16/1943
650,Phaneuf,Émilie,01.65.61.02.28,12/24/1951
651,Dubeau,Lucas,01.09.73.01.40,3/17/1940
652,Pépin,Burrell,01.75.78.43.58,2/12/1950
653,Achin,Michèle,04.86.46.99.10,3/28/1969
654,Leroux,Marcel,04.94.22.95.41,9/16/1958
655,Sanschagrin,Édith,02.06.56.36.10,5/12/1952
656,Masson,Fayme,01.06.22.87.42,3/3/1960
657,Dandonneau,Laverne,04.82.98.54.36,9/20/1939
658,Savoie,Morgana,03.64.82.16.74,10/17/1981
659,Cailot,Merle,05.11.68.29.67,9/20/1988
660,Jacques,Davet,01.64.26.49.70,10/11/1973
661,Gaulin,Jeanette,03.66.39.03.78,3/10/1975
662,Dubé,Grégoire,04.97.18.71.95,5/2/1950
663,Binet,Senapus,01.93.07.22.98,2/3/1978
664,Pichette,Platt,04.04.00.88.40,6/16/1966
665,Franchet,Adèle,02.10.57.49.58,1/7/1956
666,Vadnais,Anaïs,01.16.16.43.33,7/10/2003
667,Royer,Warrane,02.24.37.19.32,3/10/1999
668,Sciverit,David,05.81.14.90.68,12/6/1945
669,Dubois,Michèle,02.86.14.57.77,7/4/1958
670,Vaillancourt,Louise,03.73.37.74.10,2/18/2005
671,Chevrette,Théodore,03.82.86.42.90,2/20/1947
672,Blondlot,Pascal,01.73.68.50.42,6/29/1979
673,Rossignol,Cendrillon,01.49.06.86.91,4/13/1998
674,Plante,Loring,02.13.63.98.93,4/21/1956
675,Lang,Adrienne,05.21.54.02.32,3/8/1989
676,LaCaille,Agrican,04.83.91.67.72,1/18/1955
677,Cartier,Bruno,01.20.04.34.09,9/24/1944
678,"de Launay",Lance,05.67.31.81.02,1/18/1977
679,Charbonneau,Varden,01.85.80.74.63,10/12/1966
680,Labelle,Damiane,04.77.35.98.48,12/1/1995
681,Bourque,Tabor,03.70.90.64.29,3/29/1951
682,Brasseur,Bruce,03.56.99.82.23,3/12/1994
683,Pouliotte,Luce,01.34.36.91.12,5/2/1944
684,Lizotte,Vallis,03.19.48.07.88,5/20/1989
685,Givry,Didiane,03.83.98.29.52,10/8/1984
686,Chrétien,Monique,01.39.47.02.12,4/21/1985
687,Jodion,Roux,01.99.52.95.44,9/28/1971
688,Guertin,Donatien,03.06.19.12.09,4/2/1965
689,Foucault,Fabien,04.04.74.64.17,3/6/1976
690,Bisaillon,Yolette,01.51.19.34.91,1/3/1959
691,Masson,Anne,01.08.15.29.66,10/4/2001
692,Baril,Agate,02.09.20.52.10,3/22/1946
693,Dupont,Marlon,04.75.20.03.47,6/26/1967
694,Compagnon,Audric,02.72.03.95.45,5/9/1975
695,Chaloux,Ignace,01.98.19.44.50,1/16/1964
696,Guilmette,Melodie,05.30.74.72.83,2/12/1949
697,Vachon,Ansel,01.77.74.71.78,8/11/1951
698,Bonnet,Alfred,04.34.26.46.17,6/30/1949
699,Echeverri,Quennel,05.54.83.98.42,1/6/1955
700,Gosselin,Soren,01.94.89.13.15,9/9/1938
701,Bertrand,Marsilius,02.82.07.12.50,11/14/1975
702,Desforges,Philip,03.94.11.38.65,7/30/1968
703,Lécuyer,Albracca,05.18.79.06.96,12/26/1942
704,Pitre,Sabine,05.04.99.52.65,11/17/1991
705,Lejeune,Desire,03.35.11.54.25,12/10/1955
706,Mainville,Patience,03.89.46.99.43,4/30/1943
707,Senneville,Colette,03.67.48.93.75,1/28/1959
708,Gingras,Mavise,01.42.30.31.10,11/14/1951
709,Perreault,Denis,04.32.01.70.99,7/7/1989
710,Bergeron,Vallis,04.68.50.86.88,8/19/2002
711,Bler,Favor,04.77.87.25.36,7/20/1946
712,Garreau,Luc,04.66.98.04.51,3/21/1949
713,Leclerc,Leala,01.03.72.38.92,9/20/1969
714,Labbé,Adèle,01.49.08.48.04,9/18/1991
715,Bousquet,Burkett,04.95.58.98.82,12/14/2000
716,René,Gaetane,01.34.70.88.88,4/15/1946
717,Courcelle,Patience,01.75.19.31.85,10/7/1975
718,Jacques,Faye,05.27.72.70.93,8/1/1957
719,Goguen,Jesper,01.65.42.12.46,8/11/1984
720,Poulin,Roch,02.56.24.16.13,2/18/1984
721,Audibert,Archaimbau,04.03.69.41.32,6/8/1948
722,Déziel,Christabel,04.98.11.00.96,3/10/1957
723,Goddu,Dielle,05.90.22.44.08,5/27/1957
724,Coulombe,Sibyla,01.78.29.52.34,5/27/1993
725,Rhéaume,Laurene,05.82.25.05.58,1/17/1940
726,Collin,Guy,04.12.89.52.24,10/30/1980
727,Charron,Fantina,02.61.08.52.23,1/22/1978
728,Cotuand,Cloridan,01.12.04.69.99,12/26/1949
729,Généreux,Orane,05.91.16.71.97,12/24/1959
730,Boisclair,Gay,01.02.20.95.49,4/19/1985
731,Théberge,Luce,01.00.96.33.70,9/30/1985
732,Martineau,Babette,05.56.36.70.30,6/13/1978
733,Tessier,Aurore,04.45.27.75.35,9/30/1975
734,Therrien,Talon,05.97.92.79.95,2/22/1941
735,Marseau,Legget,04.36.50.18.70,9/17/1949
736,Marier,Pierpont,01.21.24.75.70,6/26/1977
737,Lejeune,Christien,01.83.63.01.42,10/25/1980
738,Clément,Ranger,05.00.65.74.71,12/2/1975
739,Allaire,Arlette,01.62.92.77.55,6/22/1996
740,Gougeon,Claudette,02.70.74.30.19,7/4/1991
741,Massé,Jeoffroi,01.85.77.42.13,2/26/1983
742,Meunier,Marthe,03.47.65.33.66,7/17/1958
743,Lefèbvre,Amarante,01.00.80.11.74,8/23/1938
744,Gour,Aubrey,05.30.47.91.43,2/14/1944
745,Lapierre,Royce,04.77.03.74.17,6/30/1942
746,Bourgeois,Iva,03.73.15.14.51,2/22/1939
747,Bondy,Jay,01.54.87.18.12,7/10/1954
748,Bois,Armand,05.69.78.94.14,5/20/1982
749,Briard,Dalmace,02.09.17.31.35,5/22/1984
750,Parent,Agate,03.23.96.80.44,8/15/1990
751,Authier,René,03.14.53.27.37,7/10/1962
752,Daigneault,Searlas,03.62.46.72.26,1/11/1958
753,Lapierre,Donat,04.99.25.20.57,11/23/1964
754,Gladu,Vick,03.03.54.03.12,2/18/1959
755,Patry,Clothilde,02.80.96.98.20,2/12/1951
756,Daigle,Clothilde,03.54.78.89.71,1/31/1957
757,Fecteau,Platt,01.30.28.01.17,12/9/1953
758,Plouffe,Claudette,04.45.16.68.26,12/21/1949
759,Baron,Malagigi,01.76.38.13.13,5/3/1973
760,Gamache,Virginie,01.90.01.23.16,5/13/1940
761,Rouze,France,01.64.05.42.65,10/10/1962
762,Pouliotte,Iva,03.84.56.27.88,4/24/1979
763,David,Gabrielle,04.34.90.39.75,8/20/1974
764,Blondlot,Arthur,01.99.74.55.35,6/3/1967
765,DeGrasse,Clothilde,01.60.69.67.22,7/26/1959
766,Ruest,Pierrette,03.17.92.67.71,3/13/2003
767,Bazinet,Gaspar,02.92.77.46.48,8/7/1977
768,Blanchard,Lance,01.01.27.45.39,4/25/1997
769,Sabourin,Eleanor,04.66.41.79.80,1/16/1947
770,Auclair,Chantal,03.16.44.98.90,10/21/1981
771,Bourgouin,Bradamate,04.47.45.06.59,8/1/1940
772,Dubois,Maureen,03.42.50.79.02,8/23/1975
773,Lévesque,Peppin,01.71.75.00.76,1/16/1952
774,Grandpré,Liane,05.89.74.51.20,8/18/1951
775,Querry,Merle,01.00.65.86.22,7/27/1966
776,Rivière,Seymour,04.96.75.35.50,10/15/1946
777,Pépin,Turner,01.53.15.14.82,4/4/1974
778,Arsenault,Yvette,04.88.08.52.61,4/10/2001
779,Giguère,Margaux,04.43.46.95.48,1/16/1941
780,Lafontaine,Dominique,04.67.34.17.15,2/27/1971
781,Clavet,Legget,02.44.04.82.99,3/1/1947
782,Gosselin,Pénélope,02.63.73.72.83,11/22/2001
783,Chauvet,Babette,04.09.84.73.24,9/17/1981
784,Marquis,Marlon,03.03.19.68.20,2/28/1972
785,Pépin,Virginie,05.22.43.58.53,4/21/2005
786,Huard,Delphine,01.04.99.74.22,7/23/1973
787,Mercier,Fusberta,01.87.60.53.07,2/3/1983
788,Franchet,Olivier,05.05.89.03.02,12/18/1952
789,Charette,Royale,04.39.43.33.26,3/27/1954
790,Chicoine,Latimer,01.92.00.02.00,11/16/1964
791,Hervieux,Ferragus,03.48.79.79.64,6/29/1999
792,Tessier,Aubrey,04.22.88.64.35,4/5/1947
793,Lanoie,Lance,01.89.40.94.87,4/19/1980
794,LaCaille,Brice,04.41.36.72.96,4/25/1953
795,Chauvin,Mirabelle,03.76.95.48.27,5/25/1997
796,L'Angelier,Florence,04.26.03.48.90,8/17/1978
797,Larocque,Chandler,01.60.70.99.63,8/18/1995
798,Landry,Francis,03.99.22.75.51,5/25/1957
799,Bédard,D'Arcy,01.74.08.79.63,5/1/1993
800,Leroy,Bevis,02.51.89.07.84,7/10/1948
801,Lambert,Pensee,04.12.87.39.51,9/26/1976
802,Jalbert,Édouard,01.93.67.39.64,11/8/1955
803,Berthelette,Hélène,02.83.84.46.80,2/21/1948
804,Poissonnier,Searlas,02.32.56.56.43,10/13/1997
805,Fresne,Crescent,04.52.86.76.79,9/20/1981
806,Richer,Fiacre,03.17.40.28.38,10/16/1983
807,Bousquet,Amorette,04.60.79.09.63,5/18/1975
808,Duffet,Harbin,01.35.76.98.39,1/26/1942
809,Laboissonnière,Marsilius,01.03.87.56.97,12/30/1962
810,Mouet,Lotye,01.02.46.34.49,8/28/1974
811,Thibault,Suzette,04.52.62.45.48,12/13/1984
812,Hétu,Amorette,05.85.52.57.68,12/5/2003
813,Bossé,Fayette,05.31.89.09.75,5/24/2000
814,Doucet,Alphonse,05.60.11.30.01,9/29/1990
815,Dumont,Erembourg,05.29.36.19.86,1/16/1980
816,Gaillou,Dominique,01.80.19.35.52,9/6/1997
817,Brisebois,Cammile,01.01.31.16.16,12/24/1984
818,Panetier,Luc,05.14.89.26.77,10/6/1941
819,Lamothe,Jesper,01.14.73.97.01,2/13/1984
820,D'Avis,William,05.63.41.26.24,4/29/1940
821,Reault,Fanchon,05.73.59.54.33,8/6/1951
822,Achin,Astolpho,04.00.47.18.98,1/12/1982
823,Couturier,Quincy,03.13.75.94.55,5/26/1967
824,Gabriaux,Romaine,05.48.39.37.95,11/25/1976
825,Brousse,Ogier,02.38.17.84.72,3/16/1998
826,Petit,Berangaria,01.96.53.54.58,4/20/1960
827,Plaisance,Heloise,05.99.14.85.80,4/23/1980
828,Course,Mason,03.27.67.85.71,12/14/1988
829,Clavette,Nicolette,01.67.09.07.56,1/13/1958
830,Goudreau,Afrodille,01.64.32.40.77,4/21/1945
831,Coulombe,Clémence,03.16.24.06.33,11/3/1946
832,Grandbois,Fanchon,04.87.10.38.79,11/29/1952
833,Godin,Gabrielle,01.32.10.47.33,9/2/1960
834,Dumont,Arthur,01.33.64.87.13,11/27/1968
835,Saurel,Desire,03.50.07.42.14,2/6/1954
836,Monty,Clarimunda,03.12.77.92.17,4/13/1972
837,Sauriol,Chappell,05.69.31.13.96,4/5/1978
838,Gregoire,Marcel,01.56.71.60.03,7/21/1991
839,Rocher,Aubin,05.44.57.14.43,6/21/1993
840,Rochefort,Liane,01.28.32.26.03,7/20/1979
841,Gour,Chandler,01.31.07.24.81,11/7/1959
842,Gauvin,Harbin,04.05.01.34.28,7/2/1985
843,Courcelle,Fitz,03.77.33.98.02,3/1/2003
844,Desilets,Leone,05.85.96.60.07,11/17/1987
845,Coulombe,Cendrillon,05.44.59.88.20,4/9/1976
846,Adler,Yvon,04.65.67.36.17,8/21/2002
847,Lessard,Granville,04.10.77.24.71,9/27/1943
848,Rocheleau,Inès,01.72.05.50.19,8/14/1983
849,Ricard,Oliver,01.98.77.91.67,7/22/1948
850,Plouffe,Daniel,01.99.38.38.06,11/2/1952
851,Martel,Charlot,04.70.70.49.34,4/29/1946
852,Laforest,Bellamy,04.00.05.34.63,4/7/1981
853,D'Aubigné,Halette,05.97.20.84.18,9/20/1966
854,Ducharme,Morgana,02.70.15.25.64,4/1/1976
855,Vaillancourt,Hedvige,02.20.24.61.84,9/19/1968
856,Laprise,Jérôme,04.35.61.41.39,5/24/1994
857,Trépanier,Raymond,02.38.82.64.18,2/9/1980
858,Sarrazin,Marphisa,04.37.93.11.33,12/7/1997
859,Gareau,Malagigi,04.24.54.99.78,10/28/1952
860,Vernadeau,Raoul,01.73.16.42.29,1/27/2005
861,Duranseau,Montague,03.82.91.24.78,6/17/1989
862,Corbeil,Ferrau,05.23.01.66.35,10/10/1942
863,Généreux,Élise,01.16.44.55.53,4/20/1974
864,Caron,Coralie,02.05.84.03.43,6/10/1970
865,Labossière,Eloise,02.82.31.21.23,2/5/1963
866,Duplanty,Paul,01.00.90.85.79,5/2/1965
867,Daigle,Arlette,01.65.18.94.12,3/28/1985
868,Blanchard,Belisarda,05.95.30.70.22,5/7/1965
869,Blondlot,Brice,01.58.37.66.24,7/9/1979
870,Charrette,Pansy,04.30.75.90.31,2/17/1959
871,Douffet,Leal,01.54.96.34.32,2/23/1950
872,Migneault,Gaetan,05.26.28.31.86,11/5/1992
873,Douffet,Angelique,04.26.65.26.33,1/3/1966
874,Jobin,Arnaud,01.62.92.20.69,10/29/1967
875,Langlais,Yvette,05.78.78.28.61,6/13/1969
876,Breton,Vincent,01.98.55.68.99,7/9/1978
877,Lazure,Cinderella,03.38.28.35.35,4/15/2004
878,Adler,Caresse,04.21.92.36.34,2/6/1992
879,Lanctot,Lothair,02.58.80.99.99,10/11/1979
880,Lagacé,Daniel,02.63.83.79.83,3/20/1995
881,Cloutier,Vincent,03.32.53.87.27,6/28/1978
882,Daigle,Odo,01.17.11.32.93,8/27/1955
883,Dennis,Perrin,01.51.25.55.30,12/29/1965
884,Norbert,Cloridan,03.86.16.94.05,3/11/1969
885,Parent,Astrid,05.54.52.72.40,9/4/1952
886,Boucher,Ancelote,05.39.80.67.96,3/9/1970
887,Begin,Lucas,03.70.28.76.46,10/23/1994
888,Labrie,Honoré,01.51.21.48.30,11/6/1992
889,Morneau,Minette,03.99.16.16.78,11/22/1969
890,Bilodeau,Yseult,05.95.12.20.72,4/6/1995
891,Carrière,Mercer,02.76.94.21.20,2/10/1999
892,Doyon,Estelle,02.62.77.26.57,7/6/1974
893,Migneault,Martin,04.39.00.53.04,7/12/1967
894,Angélil,Fifi,01.35.69.65.08,12/23/1961
895,St-Pierre,Daisi,04.82.63.28.51,5/25/1950
896,Vadnais,Marine,04.63.66.08.25,11/18/1988
897,Gervais,Hortense,01.69.77.70.36,1/21/1989
898,Cadieux,Nicholas,01.18.30.39.64,5/23/1938
899,Ayot,Robinette,04.97.20.78.23,3/11/1952
900,Trudeau,Lyle,03.46.28.33.33,9/16/1947
901,Bourgeau,Sabine,04.21.99.09.53,9/19/1960
902,Gosselin,Harcourt,04.20.63.72.39,10/31/1954
903,Allard,Amber,04.51.68.16.78,11/23/1980
904,Gendron,Fusberta,03.44.60.15.89,9/8/1942
905,Guay,Olympia,02.69.49.96.10,12/16/1981
906,Thibodeau,Blondelle,03.03.90.70.71,5/3/1959
907,Barteaux,Charlotte,03.79.05.90.49,9/3/1997
908,Giguère,Wyatt,01.10.73.88.45,9/16/1980
909,Huppé,René,01.54.24.39.80,4/30/1987
910,Parizeau,Carolos,03.57.12.32.87,10/15/1962
911,Trottier,Gano,05.29.67.83.44,2/21/1946
912,Piedalue,Brier,03.13.79.62.69,6/25/1963
913,Charrette,Adélaïde,03.76.70.01.91,11/2/1948
914,Parrot,Patricia,04.05.85.40.60,3/13/1990
915,Beaudouin,Mavise,05.43.55.28.17,8/21/1944
916,Béland,Peverell,03.35.25.47.76,7/29/1955
917,Barjavel,Marveille,01.71.61.86.73,10/16/1979
918,Blondlot,Maureen,01.24.78.83.65,5/21/1970
919,Beaudouin,Saber,04.82.88.24.45,5/10/1977
920,Hébert,Manville,02.49.75.87.73,7/10/1970
921,Quiron,Caroline,03.95.18.61.02,7/4/1981
922,Fournier,Dreux,02.31.60.03.97,1/14/1941
923,Rancourt,"La Roux",02.42.17.60.78,6/24/1963
924,Couet,Isaac,05.73.72.91.76,1/29/1955
925,Fresne,Gradasso,05.01.61.76.15,11/26/1992
926,Boutot,Pansy,05.56.34.36.51,12/18/1944
927,Langlais,Mignonette,04.86.49.42.38,3/7/1995
928,Crête,Marlon,01.61.41.04.59,3/4/1996
929,Lacombe,Honoré,04.97.27.01.54,3/17/1979
930,Bordeaux,Cloridan,03.77.17.61.31,4/21/1972
931,Ayot,Margaux,04.09.48.58.93,5/15/1980
932,Patel,Michel,01.53.05.97.03,6/24/1949
933,Thibodeau,Michel,05.10.83.59.26,6/16/1942
934,Leblanc,Landers,01.08.75.88.80,3/26/1998
935,Lanteigne,Karel,01.58.30.56.34,3/2/1972
936,Bernard,Lucas,01.03.81.72.59,7/15/1938
937,Bisson,Raoul,01.02.38.57.46,2/15/1993
938,Fortin,Minette,01.79.90.24.33,7/8/1955
939,Paquet,Maurelle,01.66.31.11.02,11/1/1977
940,Bordeaux,Fleurette,01.29.10.33.03,3/30/1975
941,Phaneuf,Falerina,03.39.99.91.78,3/9/1994
942,Therrien,Laverne,03.88.34.45.19,11/25/1950
943,Chaloux,Prewitt,02.17.67.31.71,12/1/2004
944,Potvin,Audric,02.41.04.24.66,1/6/1992
945,Larocque,Felicienne,01.64.06.84.37,4/10/1940
946,Aubin,Telford,02.29.31.38.17,5/17/1984
947,Lampron,Adèle,01.93.72.18.45,8/4/1991
948,Migneault,Jolie,04.13.10.98.54,6/22/1996
949,Camus,Richard,01.11.52.83.62,6/17/1961
950,Roy,Étienne,01.09.33.91.70,5/1/1964
951,Provencher,Clothilde,05.01.33.69.69,8/24/2000
